,MODE,MAT_SIDE,TIME_MS
320,ROW_ORDER,3642,7.6335604
321,ROW_ORDER,3824,8.6079674
322,ROW_ORDER,4015,9.5938782
323,ROW_ORDER,4215,10.5623211
324,ROW_ORDER,4425,11.7291193
325,ROW_ORDER,4646,12.7086117
326,ROW_ORDER,4878,14.5000033
327,ROW_ORDER,5121,15.9933213
328,ROW_ORDER,5377,17.9922792
329,ROW_ORDER,5645,19.726255000000002
330,ROW_ORDER,5927,21.9893327
331,ROW_ORDER,6223,24.3075222
332,ROW_ORDER,6534,24.372852
333,ROW_ORDER,6860,26.976923699999997
334,ROW_ORDER,7202,30.955578300000003
335,ROW_ORDER,7562,33.599308
336,ROW_ORDER,7940,39.0362206
337,ROW_ORDER,8337,44.9883952
338,ROW_ORDER,8753,45.741324000000006
