,MODE,VEC_SIZE,TIME_MS
492,BLOCK2,356487,0.11774719999999998
493,BLOCK2,374311,0.1498956
494,BLOCK2,393026,0.128674
495,BLOCK2,412677,0.1370836
496,BLOCK2,433310,0.1483212
497,BLOCK2,454975,0.153064
498,BLOCK2,477723,0.1481704
499,BLOCK2,501609,0.1695334
500,BLOCK2,526689,0.2065038
501,BLOCK2,553023,0.1845316
502,BLOCK2,580674,0.1883246
503,BLOCK2,609707,0.200065
504,BLOCK2,640192,0.2158912
505,BLOCK2,672201,0.24657520000000002
506,BLOCK2,705811,0.21106180000000002
507,BLOCK2,741101,0.2313482
508,BLOCK2,778156,0.31655540000000004
509,BLOCK2,817063,0.2529754
510,BLOCK2,857916,0.3100104
511,BLOCK2,900811,0.28821599999999997
512,BLOCK2,945851,0.3444172
513,BLOCK2,993143,0.3424968
514,BLOCK2,1042800,0.3474716
515,BLOCK2,1094940,0.3567478
516,BLOCK2,1149687,0.3587516
517,BLOCK2,1207171,0.3869068
518,BLOCK2,1267529,0.39064
519,BLOCK2,1330905,0.4564088
520,BLOCK2,1397450,0.497543
521,BLOCK2,1467322,0.44986820000000005
522,BLOCK2,1540688,0.4898682
523,BLOCK2,1617722,0.5330820000000001
524,BLOCK2,1698608,0.5213578
525,BLOCK2,1783538,0.6603728
526,BLOCK2,1872714,0.5872404
527,BLOCK2,1966349,0.6682482000000001
528,BLOCK2,2064666,0.6649478
529,BLOCK2,2167899,0.7106201999999999
530,BLOCK2,2276293,0.7517282
531,BLOCK2,2390107,0.7591044
532,BLOCK2,2509612,0.7804226
533,BLOCK2,2635092,0.8235621999999999
534,BLOCK2,2766846,0.8554326
535,BLOCK2,2905188,0.896847
536,BLOCK2,3050447,0.94483
537,BLOCK2,3202969,0.973793
538,BLOCK2,3363117,1.1383184
539,BLOCK2,3531272,1.1345432
540,BLOCK2,3707835,1.1651394
541,BLOCK2,3893226,1.1914672
542,BLOCK2,4087887,1.2457978
543,BLOCK2,4292281,1.30603
544,BLOCK2,4506895,1.3971016
545,BLOCK2,4732239,1.4582494000000001
546,BLOCK2,4968850,1.5463446
547,BLOCK2,5217292,1.7156502
548,BLOCK2,5478156,1.7445903999999999
549,BLOCK2,5752063,1.8906622
550,BLOCK2,6039666,1.8846756
551,BLOCK2,6341649,1.9782148
552,BLOCK2,6658731,2.0628058
553,BLOCK2,6991667,2.1909842
554,BLOCK2,7341250,2.3859192
555,BLOCK2,7708312,2.6528922
