MODE,MAX_NUMBER,NUM_THREADS,PRIME_COUNT,TIME_MS
NAIVE_PARALLEL,35,12,5,3.255762
NAIVE_PARALLEL,35,1,11,0.001566
NAIVE_PARALLEL,35,2,11,0.056669
NAIVE_PARALLEL,35,3,8,0.098652
NAIVE_PARALLEL,35,4,12,0.164219
NAIVE_PARALLEL,35,5,8,0.176297
NAIVE_PARALLEL,35,6,7,0.256540
NAIVE_PARALLEL,35,7,11,0.255373
NAIVE_PARALLEL,35,8,8,0.353276
NAIVE_PARALLEL,35,9,7,0.420303
NAIVE_PARALLEL,35,10,3,0.403876
NAIVE_PARALLEL,35,11,6,0.435532
NAIVE_PARALLEL,35,12,14,3.408525
NAIVE_PARALLEL,35,1,11,0.001615
NAIVE_PARALLEL,35,2,11,0.051708
NAIVE_PARALLEL,35,3,6,0.096581
NAIVE_PARALLEL,35,4,10,0.133575
NAIVE_PARALLEL,35,5,8,0.177270
NAIVE_PARALLEL,35,6,13,0.217503
NAIVE_PARALLEL,35,7,8,0.276865
NAIVE_PARALLEL,35,8,5,0.299633
NAIVE_PARALLEL,35,9,4,0.350349
NAIVE_PARALLEL,35,10,7,0.398197
NAIVE_PARALLEL,35,11,10,0.688698
NAIVE_PARALLEL,35,12,13,3.377283
SERIAL,40,1,12,0.000214
SERIAL,40,1,12,0.000146
SERIAL,40,1,12,0.000146
SERIAL,40,1,12,0.000195
SERIAL,40,1,12,0.000204
NAIVE_PARALLEL,40,1,12,0.004541
NAIVE_PARALLEL,40,2,12,0.053557
NAIVE_PARALLEL,40,3,12,0.111023
NAIVE_PARALLEL,40,4,8,0.160514
NAIVE_PARALLEL,40,5,9,0.183271
NAIVE_PARALLEL,40,6,10,0.219078
NAIVE_PARALLEL,40,7,10,0.271731
NAIVE_PARALLEL,40,8,8,0.313033
NAIVE_PARALLEL,40,9,10,0.352070
NAIVE_PARALLEL,40,10,9,0.375781
NAIVE_PARALLEL,40,11,9,0.418756
NAIVE_PARALLEL,40,12,13,3.735085
NAIVE_PARALLEL,40,1,12,0.001683
NAIVE_PARALLEL,40,2,12,0.054334
NAIVE_PARALLEL,40,3,12,0.096454
NAIVE_PARALLEL,40,4,8,0.143408
NAIVE_PARALLEL,40,5,7,0.193171
NAIVE_PARALLEL,40,6,8,0.223922
NAIVE_PARALLEL,40,7,11,0.286990
NAIVE_PARALLEL,40,8,12,0.361251
NAIVE_PARALLEL,40,9,7,0.362700
NAIVE_PARALLEL,40,10,5,0.395746
NAIVE_PARALLEL,40,11,5,0.433343
NAIVE_PARALLEL,40,12,9,3.095705
NAIVE_PARALLEL,40,1,12,0.001488
NAIVE_PARALLEL,40,2,12,0.052448
NAIVE_PARALLEL,40,3,7,0.086262
NAIVE_PARALLEL,40,4,5,0.132223
NAIVE_PARALLEL,40,5,11,0.175588
NAIVE_PARALLEL,40,6,8,0.245725
NAIVE_PARALLEL,40,7,10,0.252242
