PROCESS_COUNT,ROW_COUNT,COL_COUNT,TIME_MS
2,23830,23830,0.696842
3,23830,23830,0.417839
4,23830,23830,0.543014
5,23830,23830,0.326400
6,23830,23830,0.464492
2,24048,24048,0.582762
3,24048,24048,0.583515
4,24048,24048,0.353605
5,24048,24048,0.500477
6,24048,24048,0.301115
2,24267,24267,0.723917
3,24267,24267,0.412452
4,24267,24267,0.556204
5,24267,24267,0.327026
6,24267,24267,0.482329
2,24486,24486,0.595005
3,24486,24486,0.598181
4,24486,24486,0.367300
5,24486,24486,0.533660
6,24486,24486,0.317277
2,24705,24705,0.767270
3,24705,24705,0.448034
4,24705,24705,0.573341
5,24705,24705,0.384729
6,24705,24705,0.532641
2,24924,24924,0.611897
3,24924,24924,0.632961
4,24924,24924,0.385648
5,24924,24924,0.531022
6,24924,24924,0.311458
2,25143,25143,0.783596
3,25143,25143,0.458849
4,25143,25143,0.565365
5,25143,25143,0.343077
6,25143,25143,0.512552
2,25363,25363,0.614786
3,25363,25363,0.661907
4,25363,25363,0.397882
5,25363,25363,0.575771
6,25363,25363,0.340610
2,25583,25583,0.813021
3,25583,25583,0.467447
4,25583,25583,0.618343
5,25583,25583,0.377463
6,25583,25583,0.535250
2,25803,25803,0.646419
3,25803,25803,0.665832
4,25803,25803,0.402823
5,25803,25803,0.592333
6,25803,25803,0.339322
2,26023,26023,0.877420
3,26023,26023,0.499181
4,26023,26023,0.627441
5,26023,26023,0.382029
6,26023,26023,0.566867
2,26243,26243,0.663159
3,26243,26243,0.683617
4,26243,26243,0.442104
5,26243,26243,0.600407
6,26243,26243,0.345789
2,26463,26463,0.896340
3,26463,26463,0.516949
4,26463,26463,0.705362
5,26463,26463,0.411614
6,26463,26463,0.576305
2,26684,26684,0.712624
3,26684,26684,0.714690
4,26684,26684,0.443767
5,26684,26684,0.596476
6,26684,26684,0.383152
2,26905,26905,0.906630
3,26905,26905,0.514914
4,26905,26905,0.663082
5,26905,26905,0.398534
6,26905,26905,0.621943
2,27126,27126,0.707457
3,27126,27126,0.753853
4,27126,27126,0.473150
5,27126,27126,0.648017
6,27126,27126,0.383000
2,27347,27347,1.028750
3,27347,27347,0.536366
4,27347,27347,0.688194
5,27347,27347,0.426699
6,27347,27347,0.644477
2,27568,27568,0.749901
3,27568,27568,0.788658
4,27568,27568,0.475645
5,27568,27568,0.675760
6,27568,27568,0.655887
2,27790,27790,0.762382
3,27790,27790,0.793898
4,27790,27790,0.456973
5,27790,27790,0.682724
6,27790,27790,0.401341
2,28012,28012,1.051621
3,28012,28012,0.562017
4,28012,28012,0.718721
5,28012,28012,0.444065
6,28012,28012,0.643752
2,28234,28234,0.759621
3,28234,28234,0.795962
